from,to,time,amount,type,notes
"Po8","dantao","2012-11-25 18:45:50","0.585000","SELL","Altimeter"
"Po8","detonatorman","2012-11-25 18:54:17","1.040000","SELL","Butlerlog"
"Octavian0","Po8","2012-11-25 18:55:31","4.560000","BUY","Butlerlog"
"Po8","Octavian0","2012-11-25 19:05:05","2.280000","SELL","Altimeter"
"Po8","Basicthoughts","2012-11-25 19:05:13","1.070000","SELL","Altimeter"
"PickleMan","Po8","2012-11-25 19:05:14","107.760000","BUY","Butlerlog"
"Po8","PeebleTheory","2012-11-25 19:05:25","2.880000","SELL","Altimeter"
"Po8","riegel2rebuild","2012-11-25 19:08:49","58.680000","SELL","Altimeter"
"Po8","Pachirisu","2012-11-25 19:12:47","1537.650000","SELL","Altimeter"
"Po8","escherial","2012-11-25 19:12:50","190.080000","SELL","Butlerlog"
"Po8","escherial","2012-11-25 19:13:33","51.920000","SELL","Altimeter"
"Po8","Pachirisu","2012-11-25 19:15:24","15048.315000","SELL","Butlerlog"
"Po8","escherial","2012-11-25 19:15:51","126.720000","SELL","Butlerlog"
"Po8","escherial","2012-11-25 19:19:18","190.080000","SELL","Octavian0"
"Po8","escherial","2012-11-25 19:19:28","190.080000","SELL","Octavian0"
"Po8","escherial","2012-11-25 19:21:09","189.860000","SELL","Octavian0"
"PickleMan","woj75","2012-11-25 19:27:05","0.000000","P2P_TRANSFER","--"
"Po8","riegel2rebuild","2012-11-25 19:27:18","0.030000","SELL","Butlerlog"
"Po8","dotlizard","2012-11-25 19:27:27","6.570000","SELL","Butlerlog"
"Po8","Octavian0","2012-11-25 19:27:29","290.880000","SELL","Octavian0"
"Po8","riegel2rebuild","2012-11-25 19:29:33","426.610000","SELL","Butlerlog"
"Po8","dotlizard","2012-11-25 19:29:44","787.200000","SELL","Butlerlog"
"Po8","Pachirisu","2012-11-25 19:41:58","2046.720000","SELL","Butlerlog"
"Po8","dotlizard","2012-11-25 19:50:33","25.920000","SELL","Octavian0"
"Po8","dotlizard","2012-11-25 19:53:07","924.160000","SELL","Butlerlog"
"Po8","FuzzyWuzzie","2012-11-25 20:08:12","0.210000","SELL","Butlerlog"
"Po8","FuzzyWuzzie","2012-11-25 20:08:15","0.780000","SELL","Octavian0"
"Po8","riegel2rebuild","2012-11-25 20:12:54","582.130000","SELL","Megleris"
"PickleMan","Po8","2012-11-25 20:13:01","192.640000","BUY","Megleris"
"Po8","riegel2rebuild","2012-11-25 20:35:19","1508.095000","SELL","Butlerlog"
"Po8","riegel2rebuild","2012-11-25 20:35:26","2891.880000","SELL","Butlerlog"
"Po8","riegel2rebuild","2012-11-25 20:38:06","377.960000","SELL","Butlerlog"
"Po8","dotlizard","2012-11-25 20:57:46","46.420000","SELL","Butlerlog"
"Po8","dotlizard","2012-11-25 21:01:36","480.000000","SELL","Butlerlog"
"Po8","dotlizard","2012-11-25 21:20:57","1908.650000","SELL","Butlerlog"
"Po8","rawdog66","2012-11-25 21:47:20","3.205000","SELL","Butlerlog"
"Po8","thurdog","2012-11-25 21:47:33","2179.615000","SELL","Butlerlog"
"Po8","DrunkenJawas","2012-11-25 21:54:09","20.190000","SELL","Butlerlog"
"FuzzyWuzzie","Po8","2012-11-25 21:58:31","117.760000","BUY","Butlerlog"
"PickleMan","Po8","2012-11-25 21:59:29","7.040000","BUY","Butlerlog"
"Po8","KODY24","2012-11-25 22:08:32","1676.150000","SELL","Butlerlog"
"Po8","KODY24","2012-11-25 22:08:50","179.840000","SELL","Butlerlog"
"Po8","PeebleTheory","2012-11-25 22:09:45","1193.900000","SELL","Butlerlog"
"PeebleTheory","Po8","2012-11-25 22:10:31","8.320000","BUY","Butlerlog"
"KODY24","Po8","2012-11-25 22:15:02","83.880000","BUY","Butlerlog"
"KODY24","Po8","2012-11-25 22:15:21","168.840000","BUY","Butlerlog"
"KODY24","Evil_K9","2012-11-25 22:19:23","1200.000000","P2P_TRANSFER","--"
"Po8","Pachirisu","2012-11-25 22:20:35","48.510000","SELL","Butlerlog"
"PickleMan","Po8","2012-11-25 22:28:41","112.320000","BUY","Butlerlog"
"PickleMan","Po8","2012-11-25 22:28:46","0.060000","BUY","Butlerlog"
"PickleMan","Po8","2012-11-25 22:29:42","16.640000","BUY","Butlerlog"
"Po8","thurdog","2012-11-25 23:15:02","535.680000","SELL","atlasrune"
"PickleMan","Po8","2012-11-25 23:15:09","207.360000","BUY","atlasrune"
"PickleMan","Po8","2012-11-25 23:15:12","14.080000","BUY","atlasrune"
"KODY24","Po8","2012-11-25 23:15:16","300.000000","BUY","atlasrune"
"PeebleTheory","Po8","2012-11-25 23:15:21","304.640000","BUY","atlasrune"
"PickleMan","Po8","2012-11-25 23:20:47","203.520000","BUY","dotlizard"
"Po8","PickleMan","2012-11-25 23:22:17","101.760000","SELL","atlasrune"
"PickleMan","Po8","2012-11-25 23:27:29","207.360000","BUY","dotlizard"
"Po8","atlasrune","2012-11-25 23:28:30","5.760000","SELL","atlasrune"
"Po8","PickleMan","2012-11-25 23:28:45","103.680000","SELL","atlasrune"
"Po8","Pachirisu","2012-11-25 23:30:00","22.755000","SELL","atlasrune"
"Po8","dotlizard","2012-11-25 23:49:59","95.040000","SELL","atlasrune"
"Po8","dotlizard","2012-11-25 23:50:07","28.160000","SELL","atlasrune"
"Po8","atlasrune","2012-11-25 23:55:06","165.010000","SELL","atlasrune"
"Po8","atlasrune","2012-11-25 23:59:23","391.680000","SELL","atlasrune"
"PickleMan","Po8","2012-11-26 00:23:36","1067.520000","BUY","atlasrune"
"thurdog","PickleMan","2012-11-26 00:26:50","64.000000","P2P_TRANSFER","--"
"Po8","PickleMan","2012-11-26 00:29:27","255.800000","SELL","atlasrune"
